FIPS,2024 Urban Influence Code,"Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",Economic_typology_2015,NATURAL_CHG_2023,DOMESTIC_MIG_2023,R_BIRTH_2023,R_NATURAL_CHG_2023,R_INTERNATIONAL_MIG_2023,R_DOMESTIC_MIG_2023,MEDHHINC_2023,PCTPOVALL_2023,Employed_2023,Unemployment_rate_2023,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY
48123,0.3522713743325005,0.6080242352393062,0.9147786913378856,-0.38838613589799914,-0.8155588027497226,-0.9954891209453636,-0.1712255563482102,0.05987554649847518,0.07689138099010555,-0.22565590393068524,-0.521496315841874,0.6531885592941549,-0.26733368641598076,0.682924576097068,-0.2535952380632702,-0.2364446894399214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48125,0.3522713743325005,0.6860169214838556,0.2341908952597186,-0.11901659270620112,-0.48455566793220856,-0.4454058593361754,-0.12925583294197168,-0.0053741552229339086,0.3596432489584179,-0.654069731360464,0.18199811126003954,-1.1154252876795463,-1.0989339333139523,0.7009289512850819,-0.3034491637822736,1.238091351695589,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48127,1.5210361459526192,2.622228324955635,0.30046515587709627,-0.6979951201645641,-1.2785233350420573,0.10467740227301277,-0.12772966118174484,-0.024897688021465764,2.6216581927049187,0.2884406889850493,-0.7090948297357176,-1.1868043218623416,-1.2417088571851378,2.3033183430182933,-0.27010424297349755,-0.3183633583918942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48129,0.3522713743325005,0.9523824485174408,-0.14803523546695735,0.723329597475169,-0.7763705279809959,-0.4454058593361754,-0.14146520702378654,-0.01487903303274547,0.15767762898105173,-1.1895870156476873,0.08819885431311776,-1.630940534555289,-1.003224999639895,0.43086332346487766,-0.29852128332868905,0.2550673242719154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48131,1.5210361459526192,2.771928229715291,0.13918251771877957,0.15534193255925993,-1.6795074067092475,0.10467740227301277,-0.13917594938344624,-0.021301247769104633,1.8137957127954543,-0.03286968158728471,-0.6152955727887958,-0.9488742079196913,-1.5199198069715132,2.6273970964025386,-0.2780772387442234,0.6646606690317793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48133,0.3522713743325005,0.6904244314146163,-0.06849322015004401,-0.2731918827929824,-0.1791996778974296,0.10467740227301277,-0.22464156795615015,0.06449954110865377,0.7231813649176771,-1.1467456329047097,0.04129922583965681,0.8276706428520985,-0.8058632314679164,0.3228370723367957,-0.26903875530785765,0.8284980069357251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48135,-0.42690514008091196,2.0315582114449002,-0.4394752116822982,-0.07181408494575423,-0.72706887508695,0.10467740227301277,1.0893923175991727,0.22813757259108525,3.1063756806505975,2.559033974362877,2.1517825071453975,0.1456043162165006,0.08117298841997166,-0.5053641863118306,0.19730582343971578,-0.2364446894399214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48137,1.5210361459526192,1.8872284458798305,-1.4592715259094962,-0.20141668676244712,0.18573811761062778,1.204843925491389,-0.13078200470219853,-0.006915486759660108,1.409864472840722,-1.2110077070191767,-0.6152955727887958,-1.6388715383533774,-0.8360072999317988,0.9349858287292591,-0.2994778006648885,-0.8917940410557039,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48139,-1.5956699117010307,0.20210187364206447,-0.8981179129902211,0.22773792881131616,0.44945059681594707,0.6547606638822009,0.7376097268668824,2.3746986260717717,0.7231813649176771,1.5736821712743858,-0.24009854500110853,3.0800757215091887,1.4921822615462503,-1.2795523193964162,0.3131049601917615,0.09122998636796968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48141,-0.42690514008091196,1.4799141627261199,-1.168420293024422,-0.09372094298317511,0.13055125687081476,-0.9954891209453636,3.5076114716786257,-0.9872023441175227,0.8443607369040972,1.6379442453888524,0.2757973682069613,-0.6395650597942456,-0.4135657770928832,0.7189333264730952,1.8864972774463844,0.6646606690317793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
